lon,lat,mlotst,siconc,sithick,so,thetao,uo,vo,chl,fe,no3,nppv,o2,ph,phyc,po4,si,spco2,wind,uvb,swh,sp,ssrd,strd,tp,inorganic,ocean_pollution,plumes_fert,plumes_pest,population,artisanal_fishing,shipping,oil_rigs,night_lights,conc,sea
141.5,-12.25,63.926292181015015,0,0,34.804907904730904,22.233389483557808,-0.030629599175881594,0.06390317614811163,0.23069326269129914,3.8600364880241815e-4,0.2089929742247073,7.46498243469331,218.71209377712674,8.074010663562351,1.2882895800802443,0.06653207460314864,1.9886222283045452,35.71385118696425,6.884904352795586,1861415.8787786304,2.005703864478371,101726.0509726559,15929823.973649727,31689395.30257572,0.0044143090230572175,0.0034841125210126242,0.32152488827705383,0.12249647080898285,0.001939815313865741,0,0.00318534749870499,29.042184829711914,0,0,0.025429413,Indian Ocean
88.75,6.5,26.191609038247,0,0,34.890653133392334,26.024878607855904,-0.0635693183220509,0.02242691310352206,0.18118053757482105,0.0020791631864590775,0.0315086735968685,5.220191723770566,210.36941782633463,8.067532194985283,1.5668278170956507,0.1058836020760686,4.720679508315192,37.01797596613566,5.1164815046940255,2139039.3832725496,1.861112542502498,100797.86819681013,17775717.240378607,33938942.099509664,0.00561688551735264,0,0.11453778793414433,0,0,0,0,1.9203370412190754,0,0,0.23675935833333334,Indian Ocean
96.75,7.25,23.719340244928997,0,0,36.26023451487223,19.208287715911865,0.12409618590027094,-0.004363217425028172,0.37503961349527043,0.0010567642263292025,0.08991773348922531,8.8851406176884975,239.8234380086263,8.045093019803366,2.4309659401575723,0.024098916600147884,1.0851168781518936,39.597761154174805,6.909248334059242,2135394.3003982725,1.624502430007224,101762.26934866764,19171990.81595857,28464902.179106966,0.001098705536600095,0,0.1976729780435562,0,0,0,0,7.3762946128845215,0,0,0.458457704,Indian Ocean
94.25,6.75,29.771195332209267,0,0,37.99255180358887,21.34882966677348,0.0432026978749794,0.01534192332959113,0.2427796736980478,0.002729337628503951,0.10953539128725728,9.110518967111906,225.3827699025472,8.048939883708954,1.7665430381894112,0.022764589641155908,1.7720229576031366,40.59808031717936,5.1790484297142685,2070974.321700517,0.9460522571984986,100787.14170887812,18683111.848870095,29288050.736678466,0.0015384889120611867,0,0.01845567114651203,0,0,0,0,0.13578154146671295,0,0,0.36761127949999994,Indian Ocean
92.75,6.5,29.771818081537884,0,0,37.79694779713949,19.227028369903564,2.33966081092755e-5,-0.002245369723823387,0.17817728221416473,0.0018229968069742124,0.22861388822396597,3.830763518810272,233.98574701944986,8.05306069056193,1.3702662140130997,0.007032392993702767,1.2472424507141113,39.852369944254555,6.088265131633491,1899544.296034059,1.084421952374873,101545.31863967868,17036497.541951634,28760321.256410256,0.0014239592233459414,0,0.23117850720882416,0,0,0,0,11.19799518585205,0,0,14.2730529,Indian Ocean
98,-24.5,15.575431744257608,0,0,36.34932231903076,18.481531620025635,0.29813028189043206,-0.028571752443288762,0.4626084355016549,0.0019373699227192749,0.21106723882257938,12.742078264554342,238.9056078592936,8.03890879948934,2.7932570775349936,0.028469088041068364,1.230194667975108,40.16372521718343,5.575875989830769,2126204.28498619,0.7092694663267372,101340.88016912658,19092790.531482283,27844341.276336603,9.901104875939908e-4,0,0,0,0,0,0,0,0,0,0.702931952,Indian Ocean
122.5,-11,22.012441555658977,0,0,34.779689153035484,10.086347937583923,0.006070375782049571,-0.01065992571238894,0.7162052864829699,0.00391109943545113,1.538206236436963,13.369152963161469,284.1535924275716,8.052686214447021,3.3778709868590036,0.12719485249059895,7.371779163678487,37.37279733022054,6.422302579125633,1128673.0474112276,1.1126219380920714,100836.00415725664,9896303.012226,26241955.927981578,0.002197233919776019,0,0.08487296104431152,0,0,0,0,1.2202153205871582,0,0,0.266896801,Indian Ocean
87.75,6.25,24.351577281951904,0,0,33.5144240061442,28.988262176513672,-0.04794479347765446,0.030295687533604603,0.10422418390711148,8.400731021538377e-4,0.007952035133106014,3.402399788300196,201.13454564412436,8.049249092737833,1.2103150139252346,0.019452404832918546,3.890784581502279,36.77724424997965,5.890843296482418,2282283.795950132,1.9029982513952541,100937.75598132671,18301759.155670345,36657391.13827639,0.007996882719713687,0,0.43801209330558777,0,0,0,0,105.64772033691406,0,0,0.033308148,Indian Ocean
43.75,-23.5,11.452039082845053,0,0,33.43240261077881,9.669147531191507,0.04358008379737536,0.00123701517926141,1.2555281122525532,0.003950252624539037,2.245481769243876,28.008888641993206,288.66800689697266,8.052270332972208,5.60992897550265,0.17639285830470422,6.134320855140686,37.109103202819824,6.125239878048545,1153233.8709352538,0.9092642946103037,100957.02770489617,10144794.543894673,26473246.20542449,0.0025809482364925252,20.257184982299805,0.1131545826792717,0.6635057330131531,0.00998520664870739,0,0,0,0,0,0.022043319,Indian Ocean
112.25,-53.75,35.65877421696981,0,0,34.71838506062826,27.606995105743408,0.18105068050014475,0.04310461296699941,0.17056487873196602,1.2291912791321616e-5,2.8972494900226593,7.217128157615662,205.779052734375,8.011635382970175,1.3489306072394054,0.5142020781834921,2.6064959367116294,42.08074919382731,7.327105126207914,2289444.4704194833,2.283058152798245,101060.21771729231,18291686.55654715,36038916.85589194,0.011049236217878691,0,0,0,0,0,0,0,0,0,0,Indian Ocean
